,Insulation thickness (m),Wall U-value (W/m2K),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh),Heating energy (kWh/m2),Cooling energy (kWh/m2),Total energy (kWh/m2)
222,0.001,2.84,2.4,0.8,200,-2,2912.9,2095.9,5008.9,126.1,90.7,216.8
223,0.001,2.84,2.4,0.8,200,-3,2632.2,2225.7,4858,113.9,96.4,210.3
224,0.001,2.84,2.4,0.8,400,3,4017.0,2075.3,6092.3,173.9,89.8,263.7
225,0.001,2.84,2.4,0.8,400,2,3725.6,2294,6019.7,161.3,99.3,260.6
226,0.001,2.84,2.4,0.8,400,1,3436.1,2500.5,5936.6,148.7,108.2,257.0
227,0.001,2.84,2.4,0.8,400,0,3148.1,2685,5833.1,136.3,116.2,252.5
228,0.001,2.84,2.4,0.8,400,-1,2866.6,2841.3,5707.9,124.1,123.0,247.1
229,0.001,2.84,2.4,0.8,400,-2,2592.5,2969.2,5561.6,112.2,128.5,240.8
230,0.001,2.84,2.4,0.8,400,-3,2331.0,3076.8,5407.8,100.9,133.2,234.1
231,0.001,2.84,2.4,0.8,600,3,3610.1,3166,6776.1,156.3,137.1,293.3
232,0.001,2.84,2.4,0.8,600,2,3333.5,3369.7,6703.2,144.3,145.9,290.2
233,0.001,2.84,2.4,0.8,600,1,3060.0,3557.8,6617.7,132.5,154.0,286.5
234,0.001,2.84,2.4,0.8,600,0,2791.1,3723.7,6514.8,120.8,161.2,282.0
235,0.001,2.84,2.4,0.8,600,-1,2530.3,3863.8,6394.1,109.5,167.3,276.8
236,0.001,2.84,2.4,0.8,600,-2,2282.8,3979.3,6262.1,98.8,172.3,271.1
237,0.001,2.84,2.4,0.8,600,-3,2046.9,4078.9,6125.8,88.6,176.6,265.2
238,0.001,2.84,2.4,0.8,800,3,3360.1,3718.2,7078.4,145.5,161.0,306.4
239,0.001,2.84,2.4,0.8,800,2,3101.3,3916.9,7018.2,134.3,169.6,303.8
240,0.001,2.84,2.4,0.8,800,1,2845.9,4100.7,6946.6,123.2,177.5,300.7
241,0.001,2.84,2.4,0.8,800,0,2597.9,4262.3,6860.2,112.5,184.5,297.0
242,0.001,2.84,2.4,0.8,800,-1,2357.1,4398.8,6755.9,102.0,190.4,292.5
243,0.001,2.84,2.4,0.8,800,-2,2124.0,4511.8,6635.8,91.9,195.3,287.3
244,0.001,2.84,2.4,0.8,800,-3,1901.1,4609.3,6510.4,82.3,199.5,281.8
245,0.001,2.84,2.4,0.8,1000,3,3352.4,3721,7073.3,145.1,161.1,306.2
246,0.001,2.84,2.4,0.8,1000,2,3094.5,3919.6,7014.1,134.0,169.7,303.6
247,0.001,2.84,2.4,0.8,1000,1,2839.4,4103.5,6942.9,122.9,177.6,300.6
248,0.001,2.84,2.4,0.8,1000,0,2591.5,4264.9,6856.4,112.2,184.6,296.8
249,0.001,2.84,2.4,0.8,1000,-1,2350.9,4401.5,6752.3,101.8,190.5,292.3
250,0.001,2.84,2.4,0.8,1000,-2,2118.3,4514.4,6632.7,91.7,195.4,287.1
251,0.001,2.84,2.4,0.8,1000,-3,1895.5,4611.8,6507.4,82.1,199.6,281.7
252,0.001,2.84,2.1,0.2,0,3,4789.0,346.5,5135.6,207.3,15.0,222.3
253,0.001,2.84,2.1,0.2,0,2,4486.9,465.5,4952.4,194.2,20.2,214.4
254,0.001,2.84,2.1,0.2,0,1,4185.2,596.8,4782,181.2,25.8,207.0
255,0.001,2.84,2.1,0.2,0,0,3885.7,731.2,4616.8,168.2,31.7,199.9
256,0.001,2.84,2.1,0.2,0,-1,3589.1,865.3,4454.3,155.4,37.5,192.8
257,0.001,2.84,2.1,0.2,0,-2,3296.5,995.8,4292.4,142.7,43.1,185.8
258,0.001,2.84,2.1,0.2,0,-3,3009.0,1112,4121,130.3,48.1,178.4
259,0.001,2.84,2.1,0.2,200,3,4720.3,424.2,5144.5,204.3,18.4,222.7
260,0.001,2.84,2.1,0.2,200,2,4418.8,558.3,4977,191.3,24.2,215.5
261,0.001,2.84,2.1,0.2,200,1,4118.3,698,4816.3,178.3,30.2,208.5
262,0.001,2.84,2.1,0.2,200,0,3820.5,842.1,4662.5,165.4,36.5,201.8
263,0.001,2.84,2.1,0.2,200,-1,3525.0,988,4513,152.6,42.8,195.4
264,0.001,2.84,2.1,0.2,200,-2,3234.2,1127.5,4361.8,140.0,48.8,188.8
265,0.001,2.84,2.1,0.2,200,-3,2949.0,1250.2,4199.3,127.7,54.1,181.8
266,0.001,2.84,2.1,0.2,400,3,4620.5,570.3,5190.8,200.0,24.7,224.7
267,0.001,2.84,2.1,0.2,400,2,4321.3,712.1,5033.5,187.1,30.8,217.9
268,0.001,2.84,2.1,0.2,400,1,4022.8,859.2,4881.9,174.1,37.2,211.3
