,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
259,0.001,2.1,0.2,200,3,4720.312579239772,424.2,5144.5
260,0.001,2.1,0.2,200,2,4418.75216841258,558.3,4977.0
261,0.001,2.1,0.2,200,1,4118.33200471812,698.0,4816.3
262,0.001,2.1,0.2,200,0,3820.471301786268,842.1,4662.5
263,0.001,2.1,0.2,200,-1,3525.0204006369845,988.0,4513.0
264,0.001,2.1,0.2,200,-2,3234.219341290757,1127.5,4361.8
265,0.001,2.1,0.2,200,-3,2949.0272607304573,1250.2,4199.3
266,0.001,2.1,0.2,400,3,4620.511553640258,570.3,5190.8
267,0.001,2.1,0.2,400,2,4321.338529553072,712.1,5033.5
268,0.001,2.1,0.2,400,1,4022.7666621918224,859.2,4881.9
269,0.001,2.1,0.2,400,0,3726.4906830683913,1012.5,4739.0
270,0.001,2.1,0.2,400,-1,3432.836137270095,1162.1,4594.9
271,0.001,2.1,0.2,400,-2,3143.982388573699,1303.4,4447.4
272,0.001,2.1,0.2,400,-3,2862.210960213578,1422.7,4284.9
273,0.001,2.1,0.2,600,3,4493.781740655446,768.2,5261.9
274,0.001,2.1,0.2,600,2,4198.471038004211,918.4,5116.8
275,0.001,2.1,0.2,600,1,3903.503411270268,1070.5,4974.0
276,0.001,2.1,0.2,600,0,3610.721824811676,1224.5,4835.2
277,0.001,2.1,0.2,600,-1,3321.6462163798524,1377.2,4698.8
278,0.001,2.1,0.2,600,-2,3039.1565727597513,1521.5,4560.7
279,0.001,2.1,0.2,600,-3,2762.71208201094,1643.3,4406.0
280,0.001,2.1,0.2,800,3,4395.7057184843725,883.2,5278.9
281,0.001,2.1,0.2,800,2,4103.22356687569,1034.4,5137.7
282,0.001,2.1,0.2,800,1,3812.658822098346,1188.2,5000.8
283,0.001,2.1,0.2,800,0,3524.2441534718973,1345.3,4869.6
284,0.001,2.1,0.2,800,-1,3240.207775219628,1501.5,4741.7
285,0.001,2.1,0.2,800,-2,2960.8134707895993,1644.5,4605.3
286,0.001,2.1,0.2,800,-3,2687.648229445902,1766.7,4454.4
287,0.001,2.1,0.2,1000,3,4391.225548770599,883.8,5275.0
288,0.001,2.1,0.2,1000,2,4098.878953906148,1035.0,5133.9
289,0.001,2.1,0.2,1000,1,3808.299434353919,1188.7,4997.0
290,0.001,2.1,0.2,1000,0,3520.0382900037653,1345.9,4866.0
291,0.001,2.1,0.2,1000,-1,3236.2853229044426,1502.1,4738.4
292,0.001,2.1,0.2,1000,-2,2957.032453134277,1645.1,4602.1
293,0.001,2.1,0.2,1000,-3,2683.988389632589,1767.4,4451.4
294,0.001,2.1,0.32,0,3,4745.371620263006,397.0,5142.3
295,0.001,2.1,0.32,0,2,4444.169960748795,523.5,4967.6
296,0.001,2.1,0.32,0,1,4143.690501192603,658.7,4802.4
297,0.001,2.1,0.32,0,0,3845.2914777331534,795.2,4640.4
298,0.001,2.1,0.32,0,-1,3549.64597060081,933.2,4482.8
299,0.001,2.1,0.32,0,-2,3258.1154176124546,1066.0,4324.1
300,0.001,2.1,0.32,0,-3,2972.8011114163987,1184.8,4157.6
301,0.001,2.1,0.32,200,3,4570.843795470199,574.5,5145.4
302,0.001,2.1,0.32,200,2,4272.113046495458,721.8,4993.9
303,0.001,2.1,0.32,200,1,3975.4810449815773,874.9,4850.3
304,0.001,2.1,0.32,200,0,3680.559779429814,1035.3,4715.8
305,0.001,2.1,0.32,200,-1,3388.7213883771255,1194.8,4583.5
306,0.001,2.1,0.32,200,-2,3101.8340429351792,1342.0,4443.8
307,0.001,2.1,0.32,200,-3,2821.9061181719176,1466.2,4288.1
308,0.001,2.1,0.32,400,3,4403.080507613968,856.2,5259.3
309,0.001,2.1,0.32,400,2,4107.964711411295,1019.6,5127.6
310,0.001,2.1,0.32,400,1,3814.3354268785856,1190.1,5004.4
311,0.001,2.1,0.32,400,0,3522.3754280208864,1358.7,4881.0
312,0.001,2.1,0.32,400,-1,3235.211547370731,1519.5,4754.7
313,0.001,2.1,0.32,400,-2,2953.3720452234556,1663.8,4617.2
314,0.001,2.1,0.32,400,-3,2678.4622599985373,1785.3,4463.8
315,0.001,2.1,0.32,600,3,4203.675985755354,1224.2,5427.8
316,0.001,2.1,0.32,600,2,3914.313043660778,1398.7,5313.0
317,0.001,2.1,0.32,600,1,3627.277827840471,1582.1,5209.3
318,0.001,2.1,0.32,600,0,3343.295597463365,1755.5,5098.8
319,0.001,2.1,0.32,600,-1,3064.475461090335,1918.1,4982.6
320,0.001,2.1,0.32,600,-2,2790.9327767559917,2058.8,4849.7
321,0.001,2.1,0.32,600,-3,2523.277487822432,2176.5,4699.8
322,0.001,2.1,0.32,800,3,4055.707974511081,1428.4,5484.1
323,0.001,2.1,0.32,800,2,3772.9104869011403,1609.4,5382.3
324,0.001,2.1,0.32,800,1,3492.7484362254745,1791.9,5284.7
325,0.001,2.1,0.32,800,0,3214.606321214383,1964.5,5179.2
326,0.001,2.1,0.32,800,-1,2942.8996602365914,2126.1,5069.0
327,0.001,2.1,0.32,800,-2,2676.818790330625,2267.4,4944.3
328,0.001,2.1,0.32,800,-3,2419.693838326913,2385.3,4805.0
329,0.001,2.1,0.32,1000,3,4048.743497749627,1429.4,5478.2
330,0.001,2.1,0.32,1000,2,3766.6193642940266,1610.5,5377.1
331,0.001,2.1,0.32,1000,1,3486.522718235996,1793.0,5279.5
332,0.001,2.1,0.32,1000,0,3208.717588959851,1965.6,5174.3
333,0.001,2.1,0.32,1000,-1,2937.0406855022557,2127.2,5064.2
334,0.001,2.1,0.32,1000,-2,2671.6518191972054,2268.5,4940.1
335,0.001,2.1,0.32,1000,-3,2415.6272329918593,2386.4,4802.0
336,0.001,2.1,0.44,0,3,4709.30551731293,441.9,5151.2
337,0.001,2.1,0.44,0,2,4408.948499122404,572.8,4981.8
338,0.001,2.1,0.44,0,1,4109.503645442694,710.9,4820.4
339,0.001,2.1,0.44,0,0,3811.846705315501,849.4,4661.2
340,0.001,2.1,0.44,0,-1,3517.0310290526786,990.8,4507.8
341,0.001,2.1,0.44,0,-2,3226.298707092971,1124.8,4351.1
342,0.001,2.1,0.44,0,-3,2943.068269134889,1245.7,4188.7
343,0.001,2.1,0.44,200,3,4435.027494749823,729.4,5164.5
344,0.001,2.1,0.44,200,2,4139.859463807074,889.2,5029.1
345,0.001,2.1,0.44,200,1,3846.2383294043148,1059.8,4906.1
346,0.001,2.1,0.44,200,0,3554.1328118973347,1234.8,4788.9
347,0.001,2.1,0.44,200,-1,3265.763573151944,1401.8,4667.6
348,0.001,2.1,0.44,200,-2,2983.337052775808,1549.8,4533.1
349,0.001,2.1,0.44,200,-3,2707.508352454598,1675.0,4382.5
350,0.001,2.1,0.44,400,3,4205.246910816335,1171.5,5376.8
351,0.001,2.1,0.44,400,2,3914.72603525084,1355.2,5269.9
352,0.001,2.1,0.44,400,1,3625.8999670920325,1538.2,5164.1
353,0.001,2.1,0.44,400,0,3339.958782063771,1716.7,5056.7
354,0.001,2.1,0.44,400,-1,3058.4231987334197,1884.5,4942.9
355,0.001,2.1,0.44,400,-2,2783.0131555549597,2027.3,4810.3
356,0.001,2.1,0.44,400,-3,2514.0495099184645,2146.3,4660.4
357,0.001,2.1,0.44,600,3,3942.7496573132744,1738.7,5681.5
358,0.001,2.1,0.44,600,2,3661.803776331017,1934.5,5596.3
359,0.001,2.1,0.44,600,1,3382.5682367237323,2122.1,5504.6
360,0.001,2.1,0.44,600,0,3107.0470190005944,2296.9,5403.9
361,0.001,2.1,0.44,600,-1,2836.1827684465547,2454.2,5290.4
362,0.001,2.1,0.44,600,-2,2571.1697958785576,2589.1,5160.2
363,0.001,2.1,0.44,600,-3,2315.5174106590725,2700.3,5015.8
364,0.001,2.1,0.44,800,3,3757.5642256520155,2037.7,5795.3
365,0.001,2.1,0.44,800,2,3484.778777910937,2233.0,5717.8
